N,Function,Measurement_ms
256,OpenMP_t16,5.56836
256,OpenMP_t16,5.54135
256,OpenMP_t16,5.53526
256,OpenMP_t16,5.60406
256,OpenMP_t16,5.53651
256,OpenMP_t16,5.61414
256,OpenMP_t16,5.62292
256,OpenMP_t16,5.57552
256,OpenMP_t16,5.61038
256,OpenMP_t16,5.60497
256,OpenMP_t16,5.60292
256,OpenMP_t16,5.54817
256,OpenMP_t16,5.54945
256,OpenMP_t16,5.58322
256,OpenMP_t16,5.55241
256,OpenMP_t16,5.57318
256,OpenMP_t16,5.59499
256,OpenMP_t16,5.5944
256,OpenMP_t16,5.59563
256,OpenMP_t16,5.60341
256,OpenMP_t16,5.64205
256,OpenMP_t16,5.55199
256,OpenMP_t16,5.53103
256,OpenMP_t16,5.62373
256,OpenMP_t16,5.55451
256,OpenMP_t16,5.53743
256,OpenMP_t16,5.57455
256,OpenMP_t16,5.62486
256,OpenMP_t16,5.60862
256,OpenMP_t16,5.53206
256,OpenMP_t16,5.59185
256,OpenMP_t16,5.62435
256,OpenMP_t16,5.57715
256,OpenMP_t16,5.58353
256,OpenMP_t16,5.56853
256,OpenMP_t16,5.55573
256,OpenMP_t16,5.60456
256,OpenMP_t16,5.5685
256,OpenMP_t16,5.6192
256,OpenMP_t16,5.62033
256,OpenMP_t16,5.55377
256,OpenMP_t16,5.59594
256,OpenMP_t16,5.56392
256,OpenMP_t16,5.62189
256,OpenMP_t16,5.56789
256,OpenMP_t16,5.55933
256,OpenMP_t16,5.65167
256,OpenMP_t16,5.55553
256,OpenMP_t16,5.60686
256,OpenMP_t16,5.5588
256,OpenMP_t16,5.56093
256,OpenMP_t16,5.64163
256,OpenMP_t16,5.57635
256,OpenMP_t16,5.61543
256,OpenMP_t16,5.60045
256,OpenMP_t16,5.57845
256,OpenMP_t16,5.6155
256,OpenMP_t16,5.58324
256,OpenMP_t16,5.61863
256,OpenMP_t16,5.58335
256,OpenMP_t16,5.58338
256,OpenMP_t16,5.60655
256,OpenMP_t16,5.55059
256,OpenMP_t16,5.59604
256,OpenMP_t16,5.54568
