N,Function,Latency_ms,Estimation,Error_abs,Error_rel
1,P1_CUDA_Det,0.040977,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040536,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040085,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.043552,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039755,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040726,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040225,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039944,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039875,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040646,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040686,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040607,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040876,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040496,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040546,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040406,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040556,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040496,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040586,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039764,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040586,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040115,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040465,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040366,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039705,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039684,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040947,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040886,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040526,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039615,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040025,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040927,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040627,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040036,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040095,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040125,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040446,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040215,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040506,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040777,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040066,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039754,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040556,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040146,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040597,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040877,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040536,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040426,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.041067,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040446,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040256,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040486,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039594,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040486,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040145,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040136,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040176,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040436,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.042259,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040255,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039875,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040446,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040776,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040606,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040125,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040205,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039764,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040927,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040335,0.00788608,1.93972e-06,0.000246028
