N,Function,Latency_ms,Estimation,Error
1000,CPU,0.304409,0.067,0.0015896
1000,CPU,0.324938,0.069,0.0004104
1000,CPU,0.346388,0.078,0.0094104
1000,CPU,0.307084,0.074,0.0054104
1000,CPU,0.303467,0.07,0.0014104
1000,CPU,0.308197,0.06,0.0085896
1000,CPU,0.300252,0.072,0.0034104
1000,CPU,0.304199,0.062,0.0065896
1000,CPU,0.303968,0.062,0.0065896
1000,CPU,0.304761,0.076,0.0074104
1000,CPU,0.30503,0.067,0.0015896
1000,CPU,0.30502,0.073,0.0044104
1000,CPU,0.300582,0.075,0.0064104
1000,CPU,0.30461,0.071,0.0024104
1000,CPU,0.30459,0.09,0.0214104
1000,CPU,0.30453,0.061,0.0075896
1000,CPU,0.304159,0.064,0.0045896
1000,CPU,0.301103,0.087,0.0184104
1000,CPU,0.365263,0.068,0.0005896
1000,CPU,0.327662,0.078,0.0094104
1000,CPU,0.304249,0.066,0.0025896
1000,CPU,0.348622,0.063,0.0055896
1000,CPU,0.305321,0.072,0.0034104
1000,CPU,0.300632,0.073,0.0044104
1000,CPU,0.340016,0.068,0.0005896
1000,CPU,0.30478,0.075,0.0064104
1000,CPU,0.304069,0.077,0.0084104
1000,CPU,0.350436,0.08,0.0114104
1000,CPU,0.300623,0.065,0.0035896
1000,CPU,0.30485,0.065,0.0035896
1000,CPU,0.311092,0.063,0.0055896
1000,CPU,0.307165,0.065,0.0035896
1000,CPU,0.305482,0.07,0.0014104
1000,CPU,0.30496,0.075,0.0064104
1000,CPU,0.300161,0.065,0.0035896
1000,CPU,0.30417,0.075,0.0064104
1000,CPU,0.305131,0.054,0.0145896
1000,CPU,0.351618,0.055,0.0135896
1000,CPU,0.30495,0.066,0.0025896
1000,CPU,0.30475,0.069,0.0004104
1000,CPU,0.299701,0.049,0.0195896
1000,CPU,0.30452,0.06,0.0085896
1000,CPU,0.303668,0.054,0.0145896
1000,CPU,0.304099,0.074,0.0054104
1000,CPU,0.307294,0.061,0.0075896
1000,CPU,0.300602,0.063,0.0055896
1000,CPU,0.303939,0.063,0.0055896
1000,CPU,0.30442,0.06,0.0085896
1000,CPU,0.304139,0.054,0.0145896
1000,CPU,0.30473,0.064,0.0045896
1000,CPU,0.303638,0.062,0.0065896
1000,CPU,0.300311,0.063,0.0055896
1000,CPU,0.30475,0.076,0.0074104
1000,CPU,0.30456,0.071,0.0024104
1000,CPU,0.304239,0.066,0.0025896
1000,CPU,0.30448,0.072,0.0034104
1000,CPU,0.299901,0.074,0.0054104
1000,CPU,0.307255,0.061,0.0075896
1000,CPU,0.304099,0.059,0.0095896
1000,CPU,0.30488,0.063,0.0055896
1000,CPU,0.30445,0.072,0.0034104
1000,CPU,0.304219,0.064,0.0045896
1000,CPU,0.299571,0.06,0.0085896
1000,CPU,0.303758,0.062,0.0065896
1000,CPU,0.304038,0.062,0.0065896
1000,CPU,0.306293,0.088,0.0194104
1000,CPU,0.304329,0.081,0.0124104
1000,CPU,0.301003,0.069,0.0004104
1000,CPU,0.304961,0.072,0.0034104
1000,CPU,0.305832,0.082,0.0134104
1000,CPU,0.306954,0.061,0.0075896
1000,CPU,0.3049,0.078,0.0094104
1000,CPU,0.303568,0.042,0.0265896
1000,CPU,0.300222,0.07,0.0014104
1000,CPU,0.303718,0.074,0.0054104
1000,CPU,0.30458,0.058,0.0105896
1000,CPU,0.304099,0.071,0.0024104
1000,CPU,0.30462,0.076,0.0074104
1000,CPU,0.304068,0.065,0.0035896
1000,CPU,0.300413,0.06,0.0085896
1000,CPU,0.3046,0.075,0.0064104
1000,CPU,0.304249,0.088,0.0194104
1000,CPU,0.30447,0.072,0.0034104
1000,CPU,0.307365,0.078,0.0094104
1000,CPU,0.301433,0.094,0.0254104
1000,CPU,0.303397,0.057,0.0115896
1000,CPU,0.354403,0.068,0.0005896
1000,CPU,0.303738,0.056,0.0125896
1000,CPU,0.305,0.08,0.0114104
1000,CPU,0.350786,0.079,0.0104104
1000,CPU,0.302005,0.07,0.0014104
1000,CPU,0.30471,0.073,0.0044104
1000,CPU,0.304129,0.086,0.0174104
1000,CPU,0.303327,0.058,0.0105896
1000,CPU,0.303998,0.075,0.0064104
1000,CPU,0.29899,0.061,0.0075896
1000,CPU,0.307295,0.062,0.0065896
1000,CPU,0.304169,0.062,0.0065896
1000,CPU,0.302356,0.05,0.0185896
1000,CPU,0.303097,0.058,0.0105896
1000,CPU,0.30461,0.07,0.0014104
1000,CPU,0.300091,0.078,0.0094104
1000,CPU,0.304029,0.065,0.0035896
1000,CPU,0.30463,0.072,0.0034104
1000,CPU,0.304489,0.082,0.0134104
1000,CPU,0.303208,0.056,0.0125896
1000,CPU,0.29947,0.063,0.0055896
1000,CPU,0.303118,0.067,0.0015896
1000,CPU,0.303918,0.078,0.0094104
1000,CPU,0.307104,0.064,0.0045896
1000,CPU,0.30434,0.077,0.0084104
1000,CPU,0.303818,0.069,0.0004104
1000,CPU,0.300362,0.083,0.0144104
1000,CPU,0.304359,0.061,0.0075896
1000,CPU,0.303628,0.066,0.0025896
1000,CPU,0.304109,0.064,0.0045896
1000,CPU,0.30447,0.08,0.0114104
1000,CPU,0.30404,0.051,0.0175896
1000,CPU,0.301283,0.081,0.0124104
1000,CPU,0.30506,0.072,0.0034104
1000,CPU,0.30438,0.051,0.0175896
1000,CPU,0.305121,0.072,0.0034104
1000,CPU,0.305592,0.069,0.0004104
1000,CPU,0.302977,0.063,0.0055896
1000,CPU,0.305412,0.061,0.0075896
1000,CPU,0.30478,0.058,0.0105896
1000,CPU,0.304299,0.078,0.0094104
1000,CPU,0.30463,0.058,0.0105896
1000,CPU,0.303948,0.066,0.0025896
1000,CPU,0.300994,0.062,0.0065896
1000,CPU,0.304249,0.056,0.0125896
1000,CPU,0.303849,0.067,0.0015896
1000,CPU,0.303257,0.059,0.0095896
1000,CPU,0.30446,0.067,0.0015896
1000,CPU,0.300643,0.07,0.0014104
